DateTime,Accelerometer,x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-10-4 20:14:38.500,4.20,-3.36,-7.94,26.04,1.00,49.91,3.02,101358.97,-3.06,-157.06,-25.95
2018-10-4 20:14:38.000,4.35,-2.58,-7.63,26.03,1.00,49.95,3.01,101355.38,-2.73,-161.36,-28.36
2018-10-4 20:14:39.500,4.62,-2.80,-8.16,26.04,1.00,49.99,3.01,101364.52,-3.56,-161.09,-28.16
2018-10-4 20:14:39.000,2.58,-3.10,-8.46,26.04,2.00,50.03,3.01,101362.56,-3.38,-159.86,-15.96
2018-10-4 20:14:40.500,3.93,-2.07,-8.05,26.04,2.00,50.06,3.02,101364.52,-3.56,-165.59,-25.30
2018-10-4 20:14:40.000,4.18,-1.21,-7.80,26.04,2.00,50.07,3.02,101354.23,-2.63,-171.21,-27.90
2018-10-4 20:14:41.500,1.88,-1.18,-8.29,26.04,1.00,50.10,3.02,101354.23,-2.63,-171.92,-12.64
2018-10-4 20:14:41.000,2.04,-0.68,-8.76,26.05,2.00,50.12,3.02,101360.57,-3.20,-175.57,-13.08
2018-10-4 20:14:42.500,4.27,-0.72,-9.67,26.05,1.00,50.16,3.02,101355.84,-2.78,-175.77,-23.77
2018-10-4 20:14:42.000,3.37,-0.48,-7.89,26.06,1.00,50.18,3.04,101368.54,-3.92,-176.54,-23.10
2018-10-4 20:14:43.500,5.92,-0.21,-7.58,26.06,2.00,50.19,3.02,101353.88,-2.60,-178.42,-37.99
2018-10-4 20:14:43.000,4.67,1.65,-8.27,26.07,3.00,50.22,3.04,101355.48,-2.74,168.74,-29.01
2018-10-4 20:14:44.500,2.73,1.48,-8.55,26.05,3.00,50.24,3.16,101350.30,-2.28,170.17,-17.46
2018-10-4 20:14:44.000,2.51,2.17,-9.46,26.06,20.00,50.31,3.86,101356.66,-2.85,167.07,-14.49
2018-10-4 20:14:45.500,2.13,2.01,-9.02,26.06,18.00,50.14,3.84,101354.66,-2.67,167.44,-12.95
2018-10-4 20:14:45.000,1.97,2.10,-9.04,26.05,18.00,49.94,3.85,101357.80,-2.95,166.95,-12.00
2018-10-4 20:14:46.500,2.53,2.08,-8.76,26.06,18.00,49.87,3.84,101354.66,-2.67,166.67,-15.68
2018-10-4 20:14:46.000,2.72,1.50,-8.60,26.06,17.00,49.80,3.84,101354.66,-2.67,170.10,-17.30
2018-10-4 20:14:47.500,2.45,0.52,-9.31,26.06,15.00,49.78,3.81,101354.66,-2.67,176.83,-14.73
2018-10-4 20:14:47.000,1.70,1.54,-9.57,26.06,8.00,49.63,3.85,101360.22,-3.17,170.86,-9.92
2018-10-4 20:14:48.500,1.99,1.17,-9.25,26.07,9.00,49.47,3.84,101356.30,-2.82,172.81,-12.06
2018-10-4 20:14:48.000,1.26,0.90,-10.01,26.06,18.00,49.26,3.81,101354.66,-2.67,174.87,-7.17
2018-10-4 20:14:49.500,-1.31,0.52,-9.31,26.08,26.00,49.08,3.87,101357.11,-2.89,176.83,8.01
2018-10-4 20:14:49.000,-2.41,1.19,-9.51,26.08,10.00,48.91,3.50,101348.80,-2.14,172.89,14.14
2018-10-4 20:14:50.500,-1.40,1.70,-9.76,26.08,38.00,48.78,3.56,101354.34,-2.64,170.16,8.04
2018-10-4 20:14:50.000,0.01,1.89,-8.63,26.07,3.00,48.60,3.59,101359.07,-3.07,167.68,-0.06
2018-10-4 20:14:51.500,3.38,0.33,-9.34,26.07,2.00,48.64,3.52,101359.07,-3.07,178.02,-19.89
2018-10-4 20:14:51.000,3.44,-1.82,-8.12,26.08,2.00,48.64,3.48,101366.22,-3.71,-167.38,-22.45
2018-10-4 20:14:52.500,2.19,-0.90,-8.97,26.09,2.00,48.61,3.62,101358.72,-3.03,-174.28,-13.68
2018-10-4 20:14:52.000,1.89,-0.38,-8.85,26.09,3.00,48.46,3.70,101361.48,-3.28,-177.53,-12.03
2018-10-4 20:14:53.500,2.60,-0.87,-10.13,26.07,4.00,47.68,3.55,101361.84,-3.32,-175.10,-14.32
2018-10-4 20:14:53.000,2.16,-0.36,-9.26,26.08,22.00,47.02,3.40,101362.66,-3.39,-177.76,-13.15
2018-10-4 20:14:54.500,4.33,-1.67,-8.36,26.06,3.00,46.36,3.76,101359.43,-3.10,-168.74,-26.92
2018-10-4 20:14:54.000,4.26,1.15,-7.76,26.03,4.00,45.62,3.78,101360.93,-3.23,171.59,-28.52
2018-10-4 20:14:55.500,-2.39,-0.40,-8.39,26.02,5.00,45.03,3.87,101362.11,-3.34,-177.27,15.91
2018-10-4 20:14:55.000,-2.41,-0.14,-10.19,26.03,23.00,44.75,3.89,101360.14,-3.16,-179.21,13.32
2018-10-4 20:14:56.500,-2.49,-1.33,-8.56,26.02,40.00,45.13,3.88,101356.55,-2.84,-171.17,16.03
2018-10-4 20:14:56.000,-2.11,-0.43,-9.55,26.03,18.00,45.58,3.89,101352.61,-2.49,-177.43,12.43
2018-10-4 20:14:57.500,-2.23,-0.52,-9.06,26.04,20.00,45.91,3.90,101358.97,-3.06,-176.75,13.82
2018-10-4 20:14:57.000,-2.06,-0.42,-9.01,26.04,17.00,46.10,3.88,101356.20,-2.81,-177.34,12.86
2018-10-4 20:14:58.500,-2.03,-0.60,-9.15,26.05,17.00,46.26,3.89,101353.06,-2.53,-176.24,12.49
2018-10-4 20:14:58.000,-0.15,4.01,-7.32,26.05,18.00,46.37,3.89,101357.80,-2.95,151.27,1.05
2018-10-4 20:14:59.500,-1.94,1.65,-9.84,26.05,11.00,46.48,3.91,101355.84,-2.78,170.51,11.03
2018-10-4 20:14:59.000,-1.27,-0.88,-9.55,26.05,20.00,46.57,3.88,101355.84,-2.78,-174.74,7.57
2018-10-4 20:15:0.500,-0.52,0.71,-9.03,26.05,18.00,46.77,3.88,101358.61,-3.03,175.53,3.27
2018-10-4 20:15:0.000,-0.09,3.35,-9.67,26.06,16.00,46.92,3.89,101353.88,-2.60,160.90,0.48