t1= 18.7833, c1= 4.49094, s= 33.5110, t2= 18.7129, lat=43 26.1541 N, lon=062 11.4835 W, hms=001213, dmy=081018
t1= 18.7794, c1= 4.49040, s= 33.5097, t2= 18.6998, lat=43 26.1564 N, lon=062 11.4556 W, hms=001223, dmy=081018
t1= 18.7731, c1= 4.48955, s= 33.5076, t2= 18.6862, lat=43 26.1587 N, lon=062 11.4277 W, hms=001233, dmy=081018
t1= 18.7637, c1= 4.48806, s= 33.5028, t2= 18.6639, lat=43 26.1611 N, lon=062 11.3999 W, hms=001243, dmy=081018
t1= 18.7497, c1= 4.48606, s= 33.4974, t2= 18.6378, lat=43 26.1633 N, lon=062 11.3721 W, hms=001253, dmy=081018
t1= 18.7277, c1= 4.48286, s= 33.4886, t2= 18.6271, lat=43 26.1655 N, lon=062 11.3444 W, hms=001303, dmy=081018
t1= 18.7058, c1= 4.47996, s= 33.4821, t2= 18.6248, lat=43 26.1678 N, lon=062 11.3167 W, hms=001313, dmy=081018
t1= 18.6945, c1= 4.47853, s= 33.4792, t2= 18.6226, lat=43 26.1701 N, lon=062 11.2890 W, hms=001323, dmy=081018
t1= 18.6900, c1= 4.47805, s= 33.4789, t2= 18.6254, lat=43 26.1728 N, lon=062 11.2612 W, hms=001333, dmy=081018
t1= 18.6878, c1= 4.47788, s= 33.4792, t2= 18.6319, lat=43 26.1756 N, lon=062 11.2334 W, hms=001343, dmy=081018
t1= 18.6884, c1= 4.47794, s= 33.4794, t2= 18.6367, lat=43 26.1786 N, lon=062 11.2055 W, hms=001353, dmy=081018
t1= 18.6930, c1= 4.47859, s= 33.4810, t2= 18.6398, lat=43 26.1817 N, lon=062 11.1776 W, hms=001403, dmy=081018
t1= 18.6971, c1= 4.47934, s= 33.4839, t2= 18.6448, lat=43 26.1848 N, lon=062 11.1497 W, hms=001413, dmy=081018
t1= 18.7003, c1= 4.47983, s= 33.4855, t2= 18.6498, lat=43 26.1875 N, lon=062 11.1218 W, hms=001423, dmy=081018
t1= 18.7042, c1= 4.48035, s= 33.4866, t2= 18.6561, lat=43 26.1899 N, lon=062 11.0940 W, hms=001433, dmy=081018
t1= 18.7093, c1= 4.48102, s= 33.4881, t2= 18.6580, lat=43 26.1920 N, lon=062 11.0661 W, hms=001443, dmy=081018
t1= 18.7142, c1= 4.48169, s= 33.4898, t2= 18.6621, lat=43 26.1938 N, lon=062 11.0382 W, hms=001453, dmy=081018
t1= 18.7165, c1= 4.48211, s= 33.4914, t2= 18.6678, lat=43 26.1956 N, lon=062 11.0104 W, hms=001503, dmy=081018
t1= 18.7204, c1= 4.48264, s= 33.4927, t2= 18.6717, lat=43 26.1974 N, lon=062 10.9824 W, hms=001513, dmy=081018
t1= 18.7257, c1= 4.48333, s= 33.4941, t2= 18.6768, lat=43 26.1995 N, lon=062 10.9546 W, hms=001523, dmy=081018
t1= 18.7293, c1= 4.48385, s= 33.4955, t2= 18.6794, lat=43 26.2017 N, lon=062 10.9267 W, hms=001533, dmy=081018
t1= 18.7338, c1= 4.48453, s= 33.4975, t2= 18.6838, lat=43 26.2041 N, lon=062 10.8990 W, hms=001543, dmy=081018
t1= 18.7371, c1= 4.48499, s= 33.4988, t2= 18.6905, lat=43 26.2067 N, lon=062 10.8714 W, hms=001553, dmy=081018
t1= 18.7419, c1= 4.48555, s= 33.4995, t2= 18.6899, lat=43 26.2092 N, lon=062 10.8440 W, hms=001603, dmy=081018
